rank	gene	module	activation	attenuation	activation_concordance	attenuation_concordance	LODO_retention	rank_stability	technical_flag
1	BAALC	D7_M3	5.96180012243884	3.24378612033459	3	3	3	0.999928209607593	NO
2	IL11	D7_M3	5.07979583633149	3.46200298652313	3	3	3	0.998141742550566	NO
3	PPP1R14B	D7_M3	5.42794669438853	3.0086058115074	3	3	3	0.998833858053696	NO
4	CCL20	D7_M3	4.806114114017	3.22995815771404	3	3	3	0.998472826348045	NO
5	RARRES1	D7_M3	5.11005684849366	3.01568580472205	3	3	3	0.993206907651168	NO
6	LINC01050	D7_M3	4.98823034562151	2.4833298744064	3	3	3	0.99780538677503	NO
7	CDKN3	D7_M3	4.98736258827421	2.44526096658752	3	3	3	0.998735054165964	NO
8	E2F7	D7_M3	3.61516837394323	3.22246526616457	3	3	3	0.997427471545543	NO
9	IL23A	D7_M3	5.45031984011469	2.10544471364064	3	3	3	0.991194076375318	NO
10	SPHK1	D7_M3	4.9366569279205	2.34319280549532	3	3	3	0.997788298966819	NO
11	DCLK3	D7_M3	3.4731693883104	3.01781539690059	3	3	3	0.97537691728554	NO
12	UHRF1	D7_M3	3.96453185988378	2.50973579534776	3	3	3	0.995416906413141	NO
13	SPOCD1	D7_M3	5.42446409654194	1.57678411620679	3	3	3	0.995966573965225	NO
14	AVEN	D7_M3	3.75635814524998	2.51134828689381	3	3	3	0.997006114103584	NO
15	SRM	D7_M3	3.79910406961028	2.28939519567405	3	3	3	0.999455237939539	NO
16	GINS2	D7_M3	3.19671053249159	2.61257555794655	3	3	3	0.996895400638563	NO
17	HMGA2	D7_M3	4.02144119876135	2.08313830874364	3	3	3	0.995218576155143	NO
18	COTL1	D7_M3	3.65703703752416	2.25089074563788	3	3	3	0.997837616550686	NO
19	METRN	D7_M3	3.74132259115583	2.10832773552015	3	3	3	0.997336731812123	NO
20	BCAT1	D7_M3	5.11931457951759	1.07022474410749	3	3	3	0.99473813587983	NO
21	UBE2M	D7_M3	2.91026558410061	2.35687641587394	3	3	3	0.99456173289672	NO
22	POPDC3	D7_M3	4.58188962711845	1.36446472556713	3	3	3	0.996475800545237	NO
23	INHBA	D7_M3	3.39718867293675	2.02016087220249	3	3	3	0.99531843681112	NO
24	ATAD3A	D7_M3	3.28652199243	1.98992998159452	3	3	3	0.996098343395171	NO
25	MYG1-AS1	D7_M3	4.14333961747982	1.43237129269962	3	3	3	0.998149717440404	NO
26	LINC01060	D7_M3	3.45570646778527	1.76004768130212	3	3	3	0.996861463047484	NO
27	C3orf80	D7_M3	3.49378973041029	1.5467696681504	3	3	3	0.987488270208305	NO
28	MCM4	D7_M3	2.36447702719951	2.1543430671189	3	3	3	0.996391415724711	NO
29	SLC2A6	D7_M3	2.67651706837926	1.95870917171376	3	3	3	0.965484408798444	NO
30	TEDC2	D7_M3	2.49992695501093	1.97941731780885	3	3	3	0.98972269100812	NO
31	RDH8	D7_M3	2.85763900642709	1.66889487681851	3	3	3	0.986904433194599	NO
32	SMOX	D7_M3	2.39052607463322	1.79964893716737	3	3	3	0.947497919126991	NO
33	MDFIC	D7_M3	2.2987878893735	1.83184320458997	3	3	3	0.989101070539316	NO
34	PPP1R14B-AS1	D7_M3	4.15690421827232	0.722988748879419	3	3	3	0.995613882640777	NO
35	FOXL1	D7_M3	2.66929438627158	1.58730120585782	3	3	3	0.989457073371611	NO
36	CDC25A	D7_M3	2.18864505639735	1.83736312831879	3	3	3	0.995654086344888	NO
37	FGF1	D7_M3	2.2621442825088	1.75496031195973	3	3	3	0.983675506712303	NO
38	LRR1	D7_M3	2.60937939688141	1.47173811923456	3	3	3	0.996830403036733	NO
39	ARSI	D7_M3	3.54523320901078	0.903140852529518	3	3	3	0.991572064483111	NO
40	TUBB3	D7_M3	3.93612338922095	0.656237761913065	3	3	3	0.996547416774966	NO
41	LINC01524	D7_M3	2.7186218093531	1.35840801802607	3	3	3	0.962044857431622	NO
42	MFSD12	D7_M3	2.68664945496769	1.3614558923296	3	3	3	0.994165488034832	NO
43	PANO1	D7_M3	2.31198189576954	1.5533134046426	3	3	3	0.986128071800071	NO
44	OAF	D7_M3	2.36873534275322	1.51826469439277	3	3	3	0.969660995793726	NO
45	ARNTL2	D7_M3	1.86161897239492	1.78650498614025	3	3	3	0.963091316937721	NO
46	IGFLR1	D7_M3	2.90947044046923	1.15354171771915	3	3	3	0.970079040661388	NO
47	CHST2	D7_M3	1.92904186121165	1.6709163288208	3	3	3	0.959953364702057	NO
48	SELPLG	D7_M3	2.71518733047154	1.20859042379284	3	3	3	0.979427011847996	NO
49	MYDGF	D7_M3	2.15498382359366	1.52984999871612	3	3	3	0.972312331928761	NO
50	DTYMK	D7_M3	2.67935246563097	1.20740882338408	3	3	3	0.993854363126495	NO
51	FEN1	D7_M3	1.9643957755732	1.58191733656627	3	3	3	0.988385457425645	NO
52	GLIPR1	D7_M3	2.95640506067449	0.979138502501549	3	3	3	0.990435261752811	NO
53	LINC01588	D7_M3	2.01274987792	1.54323533341966	3	3	3	0.979845179381659	NO
54	POLE2	D7_M3	2.4662575631353	1.245212283766	3	3	3	0.982750511046163	NO
55	PAFAH1B3	D7_M3	2.59433989451543	1.16877286499328	3	3	3	0.978205363587158	NO
56	TUBG1	D7_M3	2.07194244921094	1.3969773167951	3	3	3	0.980398996937791	NO
57	XKR8	D7_M3	2.43596678081565	1.18713938977662	3	3	3	0.973053018920026	NO
58	PKM	D7_M3	2.33307282417495	1.23310821254705	3	3	3	0.99783015406719	NO
59	PFKP	D7_M3	1.83739786258204	1.51493144682744	3	3	3	0.992521285595597	NO
60	MYCBP	D7_M3	2.37246439705806	1.18007989523809	3	3	3	0.995223645276352	NO
61	STAR	D7_M3	2.21626216512171	1.31144440834399	3	3	3	0.911997206062791	NO
62	CA12	D7_M3	2.0821617969888	1.33570305985434	3	3	3	0.957756410110295	NO
63	MMD	D7_M3	2.16059266793832	1.28964076305618	3	3	3	0.982033817030456	NO
64	RGS17	D7_M3	2.54864844507472	1.04965020098254	3	3	3	0.973389336025133	NO
65	GJC1	D7_M3	2.18408051398856	1.26057928056974	3	3	3	0.984966780186314	NO
66	RPA3	D7_M3	2.03062314831363	1.34651953119852	3	3	3	0.993376242352914	NO
67	B3GALT6	D7_M3	2.14793884101612	1.28165247713544	3	3	3	0.968635154628367	NO
68	POLA2	D7_M3	1.89901942832177	1.40652103950452	3	3	3	0.988965305395977	NO
69	HGH1	D7_M3	2.26622846093634	1.34675343965348	3	3	3	0.989425420117078	NO
70	LGI2	D7_M3	3.39555403480166	0.47581684530061	3	3	3	0.993161675213396	NO
71	GAPDH	D7_M3	2.56208860476241	0.986546536506806	3	3	3	0.992984587049736	NO
72	SLC12A8	D7_M3	3.47374604330482	0.404996320162567	3	3	3	0.98182457476831	NO
73	P4HB	D7_M3	2.42645784707456	1.03177952662399	3	3	3	0.975760214477303	NO
74	NT5M	D7_M3	1.81899540398039	1.40610896671676	3	3	3	0.97680982679791	NO
75	FGF18	D7_M3	2.05015862699861	1.24023383427681	3	3	3	0.994572367842496	NO
76	ANKRD2	D7_M3	2.83838993010274	0.766560573850538	3	3	3	0.992707664027399	NO
77	ADAM19	D7_M3	3.13167527270796	0.58130177447982	3	3	3	0.9912378238513	NO
78	SLC52A2	D7_M3	2.18192224103099	1.16154788782187	3	3	3	0.975026710831705	NO
79	PLEKHO1	D7_M3	1.71860111077877	1.42091608860454	3	3	3	0.991139401075901	NO
80	TXNL4A	D7_M3	2.21158841059122	1.09376452607932	3	3	3	0.975921991139515	NO
81	SEC11C	D7_M3	2.12707282411032	1.12580074305922	3	3	3	0.992016704031457	NO
82	ACAA2	D7_M3	2.21253619842089	1.08736308235678	3	3	3	0.965896477555691	NO
83	LDHB	D7_M3	1.84526601907261	1.27468455733874	3	3	3	0.980029860067009	NO
84	RFC4	D7_M3	2.31271603233053	0.938340888058142	3	3	3	0.9896614571071	NO
85	C12orf75	D7_M3	1.57272148292313	1.36760769055614	3	3	3	0.94867246240033	NO
86	NACC1	D7_M3	1.86492847194258	1.19737536591961	3	3	3	0.981013285616314	NO
87	GALE	D7_M3	2.02282281138	1.09262441815346	3	3	3	0.970062832675409	NO
88	FKBP11	D7_M3	2.85280033470057	0.577378802804148	3	3	3	0.982318221568759	NO
89	TUBA1C	D7_M3	2.71251120114713	0.663995674269843	3	3	3	0.976397458545736	NO
90	KNSTRN	D7_M3	1.71088605927707	1.23707736396571	3	3	3	0.98005388743544	NO
91	TSPAN17	D7_M3	2.02063628062226	1.05543147052338	3	3	3	0.98980163682508	NO
92	LINC01303	D7_M3	2.62764540710107	0.692708875823684	3	3	3	0.966654254400448	NO
93	SRD5A3	D7_M3	1.90069875376595	1.14103905548178	3	3	3	0.955734304802155	NO
94	PAICS	D7_M3	2.01651628064458	1.04460569443078	3	3	3	0.990601435396196	NO
95	SHMT2	D7_M3	1.7730767412517	1.18968190784822	3	3	3	0.989728379110101	NO
96	PDIA6	D7_M3	1.68466503558172	1.24330393914859	3	3	3	0.981937483086174	NO
97	SLC25A39	D7_M3	1.69139222879822	1.22912019278618	3	3	3	0.96483083214768	NO
98	POLDIP2	D7_M3	1.61218886388444	1.26462120651667	3	3	3	0.979331614219342	NO
99	ADGRL4	D7_M3	2.69457539063563	0.584816705503429	3	3	3	0.964624233905705	NO
100	VASP	D7_M3	1.62787274971752	1.2143366451442	3	3	3	0.959409655096337	NO
